Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
FP 501,Aarohan (For 2024 MSc and MA students),0,0,0,2,"Raghavan Ranganathan(I),Prafull Pandey(I),Abinaya Sampath(I),Sandip Lashkare (I)",,,,,,,,,,,
FP 601,"Aarohan (For 2024 MTech, PGDIIT and PhD students)",0,0,0,2,"Raghavan Ranganathan(I),Prafull Pandey(I),Abinaya Sampath(I),Sandip Lashkare (I)",,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2024 MSc and MA students),0,0,0,0,,,,,,,,,,,,
PE 600,"Physical Education (For 2024 MTech, PGDIIT and PhD students)",0,0,0,0,,,,,,,,,,,,
Additional courses BE,,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Mukesh Dhanka(I),,,,"M1,M2
 (7/205)",,,,,,,
BE 401,Methods in Biology,0,0,3,2,Sharad Gupta(L),,,,,,"I1,K1
(BE Lab)",,,,,
BE 404,Genetic Engineering – Principles and Applications,3,0,0,4,Sharmistha Majumdar(I),,,,"J1,J2
 (7/210)",,,,,,,
BE 607,Molecular and Cellular Biotechnology,3,0,0,4,Subramanian Sankaranarayanan(I),,,,"L1,L2
 (7/210)",,,,,,,
BE 613,Biochemistry,3,0,0,4,Dhiraj Bhatia(I),,,,"K1,K2
 (10/102)",,,https://docs.google.com/document/d/1gMpHWTPqDEFefy3rR4rY1tITx4n4THGQ/edit?usp=sharing&ouid=114828150794801814953&rtpof=true&sd=true,,,,
BE 614,Biostatistics,1.5,0,3,4,Ashutosh Srivastava(I+L),,,,"P1
 (10/102)",,"J1,L1
(10/104)",,,,,
BE 616,Human Physiology,3,0,0,4,Karla P. Mercado-Shekhar(I),,,,"I1,I2
 (7/101)",,,,,,,
Additional courses CE,,,,,,,,,,,,,,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,,,"L1,L2
 (7/201)",,"I2,M1
(CE Lab)",,,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Manish Kumar(I),,,,"N1,N2
 (7/101)",,,,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Vimal Mishra(I),,,,"A1,A2
 (7/106)",,,,,,,
CE 622,Structural Dynamics,3,0,0,4,Dhiman Basu(I),,,,"M1,M2
 (7/206)",,,,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Mohapatra(I),,,,"C1,C2
 (7/110)",,,,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,SR Gandhi(I),,,,"K1,K2
 (7/201)",,,,,,,
CE 637,Infrasructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,,,"J1,J2
 (7/108)",,,,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,,,"P1,P2
(7/207)",,,,,,,
CE 635,Pavement Materials and Design,3,0,0,4,Sushobhan Sen(I),,,,"J1,J2
 (7/103)",,,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,,,"E1,E2
 (7/207)",,,,,,,
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),3,0,0,4,S K Arora(I),,,,"F1,F2
 (7/205)",,,,,,,
CE 638,Advanced Concrete Technology,3,0,0,4,Siva Chopperla(I),,,,"L1,L2
 (7/103)",,,,,,,
Additional courses CL,,,,,,,,,,,,,,,,,
CL 324,Introduction to Polymer Science and Engineering,3,0,0,4,Pratyush Dayal(I),,,,"G1,G2
 (10/202)",,,,,,,
CL 426,Biochemical Engineering,3,0,0,4,Karthik Subramaniam(I),,,,"D1,D2
 (7/105)",,,,,,,
CL 427,Formulation Science and Engineering,3,0,0,4,Prachi Thareja(I),,,,"E1,E2
 (7/208)",,,,,,,
BS 401,Nanoscale Science,3,0,0,4,Kabeer Jasuja(I),,,,"F1,F2
 (7/102)",,,Course Plan,,,,
CL 601,Advance Transport Phenomena,3,0,0,4,Pratyush Dayal(I),,,,"C1,C2
 (7/207)",,,,,,,
CL 602,Advanced Thermodynamics,3,0,0,4,Mithun Radhakrishna(I),,,,"A1,A2
 (7/205)",,,,,,,
CL 604,Advanced Reaction Engineering,3,0,0,4,Abinaya Sampath(I),,,,"B1,B2
 (7/206)",,,,,,,
ES 604,Engineering Optimization,3,0,0,4,Hari Ganesh(I),,,,"I1,I2
(7/201)",,,,,,,
ES 662,"Flexible Electronics: Materials, Methods and Devices",3,0,0,4,Biswajit Saha(I),,,,"K1,K2
(7/208)",,,,,,,
Additional courses CSE,,,,,,,,,,,,,,,,,
ES 335,Machine Learning,3,1,0,4,Nipun Batra(I),,,,"P1,P2
(10/103)","J1
(10/103)",,,,,,
CS 431,Computer and Network Security,3,0,0,4,Abhishek Bichawat(I),,,,"G2,H2
 (1/102)",,,,,,,
CS 610,Algorithms,3,0,0,4,Manoj Gupta(I),,,,"E1,E2
 (7/103)",,,,,,,
CS 618,Theoretical Foundations of ML,3,0,0,4,Anirban Dasgupta(I),,,,"P1,P2
 (7/101)",,,,,,,
CS 612,Computer Systems,3,0,0,4,"Sameer Kulkarni(I),Abhishek Bichawat(I)",,,,"L1,L2
 (7/203)",,,,,,,
CS 613,Natural Language Processing,3,0,0,4,Mayank Singh(I),,,,"M1,M2
 (7/208)",,,,,,,
CS 691,Special Topics in CSE: Toolkit for Theoretical Computer Science,3,0,0,4,Bireswar Das(I),,,,"I1,I2
 (7/210)",,,,,,,
Additional courses EE,,,,,,,,,,,,,,,,,
ES 417,5G and Beyond: An Introduction,3,0,0,4,"Ravi Hegde(I), Sameer Kulkarni(I)",,,,"M1,M2
 (7/207)",,,,,,,
EE 426,Electric Vehicle Technology,3,0,0,4,S Rajendran(I),,,,"M1,M2
(10/201)",,,,,,,
EE 611,Restructured Power Systems: Operation and Management,3,0,0,4,Naran Pindoriya(I),,,,"J1,J2
 (7/104)",,,,,,,
EE 617,VLSI Design,3,0,0,4,Joycee Mekie(I),,,,"G1,G2 
(10/201)",,,,,,,
EE 639,Lasers,3,0,0,4,Arup Chakraborty(I),,,,"L1,L2
 (7/104)",,,,,,,
EE 644,Physics of Transistors,3,0,0,4,Jhuma Saha(I),,,,"C1,C2
 (10/102)",,,,,,,
EE 648,Dynamic Behaviour of Electric Machines,3,0,1.5,5,Ragavan K(I+L),,,,"A1,A2
 (7/206)",,"I1
(EE Lab)",,,,,
ES 414,Introduction to Photonics,3,1,0,4,Arup Chakraborty(I+T),,,,"P1,P2
 (7/210)","F1
 (7/104)",,,,,,
ES 616,Digital Control Systems,3,1,0,4,S Rajendran(I+T),,,,"C1,C2
 (7/203)","G2
 (7/108)",,,,,,
ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,Sandip Lashkare(I),,,,"J1,J2
 (7/206)",,,Course Plan,,,,
EE 651,CMOS Analog IC Design,3,0,0,4,Nihar Mohapatra(I),,,,"A1,A2
 (7/210)",,,,,,,
EE 653,Analog IC Design Lab,0,0,3,2,Nihar Mohapatra(L),,,,,,"K1,I1
(EE Lab)",,,,,
EE 656,Digital VLSI Circuits Laboratory,0,0,3,2,Joycee Mekie(L),,,,,,"J2,M2
(10/104,10/105)",,,,,
ES 663,Smart Renewable Energy Systems,3,0,0,4,Pallavi Bharadwaj(I),,,,"D1,D2
 (7/104)",,,,,,,
ES 666,Computer Vision,3,0,0,4,Shanmuganathan Raman(I),,,,"L1,L2
 (10/201)",,,"Course Plan, Google Classroom Code: pzsm77m",,,AI/EE/CSE,
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,3,0,0,4,Anand Kumar(I),,,,"K1,K2
 (7/210)",,,,,,,
Additional courses ME,,,,,,,,,,,,,,,,,
ES 408,Mechatronics,3,0,0,4,Madhu Vadali(I),,,,"D1,D2
(7/202)",,,,,,,
ME 491(A),Special Topics in Mechanical Engineering - Machine Design,3,0,0,4,Ravi Ayyagari(I),,,,"K1,K2
 (7/103)",,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,4,Uddipta Ghosh(I+T),,,,"E1,E2
 (7/205)","G1
 (10/102)",,,,,,
ME 605,Computational Fluid Dynamics,3,1.5,0,4,Dilip Sundaram(I+T),,,,"P1,P2
 (7/203)","N2
 (7/203)",,Course plan,,,,
ME 635,Compressible Flow,3,0,0,4,Vinod Narayanan(I),,,,"P1,P2
 (7/103)",,,,,,,
ME 639,Introduction to Robotics,3,0,0,4,Harish P. M.(I),,,,"E1,E2
 (7/206)",,,,,,,
ME 640,Fracture Mechanics,3,0,0,4,Ravi Ayyagari(I),,,,"N1,N2
 (7/103)",,,,,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,Jayaprakash K. R.(I),,,,"M1,M2
 (7/107)",,,,,,,
ME 691,Special Topics in Mechanical Engineering - Phase Change Phenomena,3,0,0,4,Soumyadip Sett(I),,,,"J1,J2
 (7/106)",,,,,,,
Additional courses MSE,,,,,,,,,,,,,,,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,Surya P Mehrotra(I),,,,"E1,E2
 (7/110)",,,,,,,
MSE 629,Structure and Defects of Materials,3,0,0,4,Anagh Bhaumik(I),,,,"I1,I2
 (7/202)",,,,,,,
MSE 632,Characterization of Materials,3,0,3,4,Emila Panda(I+L),,,,"A1,A2
 (7/203)",,"J1,L1
(MSE Lab)",,,,,
Additional courses CH,,,,,,,,,,,,,,,,,
CH 202,Chemistry Laboratory,0,0,3,2,Priyabrata Ghana(L),,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (CH Lab)",,,,,
CH 302,Electrochemical Science and Engineering,3,1,0,4,Sudhanshu Sharma(I+T),,,,"L1,L2
 (7/105)","J2
 (7/110)",,,,,,
CH 401,Food Chemistry,3,1,0,4,Iti Gupta(I),,,,"J1,J2
(7/208)","M1
(7/102)",,,,,,
CH 506,Physical Organic Chemistry,3,0,0,4,Sriram Kanvah(I),,,,"K1,K2
 (7/104)",,,,,,,
CH 508,Organometallic and Bioinorganic Chemistry,3,0,0,4,Iti Gupta(I),,,,"P1,P2
 (7/104)",,,,,,,
CH 510,Main Group and Transition Metal Chemistry,3,0,0,4,Biswajit Mondal(I),,,,"A1,A2
 (7/204)",,,,,,,
CH 511,Quantum Chemistry,3,0,0,4,Sairam Mallajosyula(I),,,,"I1,I2
 (7/206)",,,,,,,
CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran(I),,,,"G1,G2
 (7/208)",,,,,,,
CH 522,Inorganic Chemistry Laboratory,0,0,3,2,Iti Gupta(L),,,,,,"K1,H1
(CH Lab)",,,,,
CH 523,Organic Chemistry Laboratory,0,0,3,2,Chandrakumar Appayee(L),,,,,,"L1,N1
(CH Lab)",,,,,
CH 616,Applied Chemical Biology,3,0,0,4,Sudipta Basu(I),,,,"B1,B2
 (7/204)",,,,,,,
CH 622,Interpretative Organic Spectroscopy,3,0,0,4,Bhaskar Datta(I),,,,"C1,C2
 (7/204)",,,,,,,
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,4,Chandrakumar Appayee(I),,,,"C1,C2
 (7/205)",,,,,,,
CH 634,Introduction to Molecular Dynamics,1.5,0,3,4,Sairam Mallajosyula(I+L),,,,"M2
 (7/104)",,"M1,L2
(10/203)",,,,,
